path,true_type,verdict,anomaly_score,triaged_to_vlm,pred_type,type_correct,stage1_seconds,stage2_seconds,report,confidence,bbox,parse_ok,region_count
datasets\MVTecAD\bottle\test\broken_large\001.png,broken_large,false_alarm,0.9125980734825134,True,,,39.96084950002842,27.389118399936706,"The flagged region shows normal color gradients within the bottle's contents, which are consistent with product design variations. No physical defects (cracks, contamination) are visible in this area.",0.95,,True,1
datasets\MVTecAD\bottle\test\broken_large\002.png,broken_large,false_alarm,0.8703007698059082,True,,,0.4182201998773962,22.17353759985417,"The flagged region shows normal color variation from the bottle's interior (likely liquid or coating), with no visible cracks, chips, or foreign particles. The detector likely misinterpreted natural product characteristics as an anomaly.",0.95,,True,1
datasets\MVTecAD\bottle\test\broken_large\003.png,broken_large,false_alarm,0.9415566325187683,True,,,0.45013659982942045,84.5861317999661,The flagged region shows normal surface variation or light reflection artifacts; no foreign material (contamination) or breaks are visible.,0.95,,True,1
datasets\MVTecAD\bottle\test\broken_large\004.png,broken_large,false_alarm,1.0,True,,,0.43586399988271296,29.549363400088623,The flagged region shows a smooth bottle surface with no visible cracks or foreign particles; color variations are likely due to lighting artifacts rather than manufacturing defects.,0.95,,True,1
datasets\MVTecAD\bottle\test\broken_large\005.png,broken_large,false_alarm,0.9598264694213867,True,,,0.4511943000834435,60.85359640000388,"The red box region shows normal coloration of the liquid inside the bottle, which is consistent with the product's intended appearance (e.g., a beverage). No cracks or foreign contaminants are visible, so this flagged area is benign.",0.95,,True,1
datasets\MVTecAD\bottle\test\broken_small\001.png,broken_small,defect,0.9243823289871216,True,contamination,False,0.43428940000012517,54.710635100025684,"The detector-proposed region [429, 162, 660, 471] shows a visible residue or stain inside the bottle, indicating contamination.",0.924,,True,1
datasets\MVTecAD\bottle\test\broken_small\002.png,broken_small,defect,0.876378059387207,True,unknown,False,0.42994940001517534,113.66852030018345,,0.0,,False,1
datasets\MVTecAD\bottle\test\broken_small\003.png,broken_small,defect,0.9867037534713745,True,contamination,False,0.4332353000063449,18.76740869996138,"The flagged region [111, 219, 282, 477] shows visible foreign material adhering to the inner surface of the bottle near the opening, indicating contamination.",0.95,,True,1
datasets\MVTecAD\bottle\test\broken_small\004.png,broken_small,false_alarm,0.8872008323669434,True,,,0.41952320002019405,22.309927499853075,"The red-boxed region shows normal liquid surface and glass texture; no cracks, foreign particles, or other defects are visible. This appears to be a natural variation in the product's contents or glass appearance.",0.95,,True,1
datasets\MVTecAD\bottle\test\broken_small\005.png,broken_small,defect,0.8303431272506714,True,unknown,False,0.41722960001789033,109.53157650004141,,0.0,,False,3
datasets\MVTecAD\bottle\test\contamination\001.png,contamination,defect,0.7463473677635193,True,contamination,True,0.4721494000405073,76.80627119983546,"The central region shows yellowish discoloration with a reddish spot, indicating potential contamination. This matches the detector's flagged area and exceeds normal tolerances for a clean bottle.",0.746,,True,2
datasets\MVTecAD\bottle\test\contamination\002.png,contamination,false_alarm,0.5585505962371826,True,,,0.43039139988832176,23.263834899989888,"The detector's flagged region shows no manufacturing defects; the bottle's glass rim appears intact with no cracks or breaks, and the liquid inside contains no visible contaminants. The color variation in the liquid is likely a normal product characteristic rather than an anomaly.",0.95,,True,1
datasets\MVTecAD\bottle\test\contamination\003.png,contamination,defect,1.0,True,contamination,True,0.4359792999457568,19.95344950002618,"The image shows a reddish-brown organic foreign object (likely insect or debris) lodged in the bottle's opening, indicating contamination. This material is not part of the product and violates cleanliness standards for packaged goods.",0.95,"(28, 53, 559, 499)",True,1
datasets\MVTecAD\bottle\test\contamination\004.png,contamination,false_alarm,0.500049889087677,True,,,0.41773639991879463,68.00138369994238,The flagged regions in the detector evidence correspond to normal surface reflections and glass texture on a bottle; no manufacturing defects (broken or contamination) are visible in any of the highlighted areas.,0.95,,True,5
datasets\MVTecAD\bottle\test\contamination\005.png,contamination,false_alarm,0.9128486514091492,True,,,0.44404889992438257,23.729668299900368,"The red box highlights the product's intended contents (liquid), which appears normal for this bottle type. The detector likely flagged it as contamination due to color misinterpretation, but no physical defect exists.",0.95,,True,1
datasets\MVTecAD\bottle\test\good\001.png,good,pass,0.2607347369194031,False,,,0.4213086999952793,0.0,No anomaly detected; passed stage-1 triage.,,,,0
datasets\MVTecAD\bottle\test\good\002.png,good,pass,0.28815555572509766,False,,,0.4340364998206496,0.0,No anomaly detected; passed stage-1 triage.,,,,0
datasets\MVTecAD\bottle\test\good\003.png,good,pass,0.23272186517715454,False,,,0.46492239995859563,0.0,No anomaly detected; passed stage-1 triage.,,,,0
datasets\MVTecAD\bottle\test\good\004.png,good,pass,0.20752844214439392,False,,,0.42006710008718073,0.0,No anomaly detected; passed stage-1 triage.,,,,0
datasets\MVTecAD\bottle\test\good\005.png,good,pass,0.32107558846473694,False,,,0.4162421999499202,0.0,No anomaly detected; passed stage-1 triage.,,,,0
