path,true_type,verdict,anomaly_score,triaged_to_vlm,pred_type,type_correct,stage1_seconds,stage2_seconds,report
datasets\MVTecAD\bottle\test\broken_large\001.png,broken_large,defect,1.0,True,broken_small,False,5.200039595365524e-06,123.95186470006593,"The bottle's rim shows minor cracks/chips along its edge, particularly on the right side (x=450-650, y=200-350). These are small fractures consistent with a manufacturing defect."
datasets\MVTecAD\bottle\test\broken_large\002.png,broken_large,defect,1.0,True,broken_large,True,1.1299969628453255e-05,68.84343799995258,"The bottle's rim shows a significant fracture on the right side, spanning from approximately (400,200) to (600,400) pixels. This large break compromises structural integrity and indicates a manufacturing defect."
datasets\MVTecAD\bottle\test\broken_large\003.png,broken_large,defect,1.0,True,broken_small,False,9.899958968162537e-06,117.47138150013052,"The image shows a small break on the bottle's rim near the top edge, which is a manufacturing defect. The anomaly detector correctly flagged this as anomalous."
datasets\MVTecAD\bottle\test\broken_large\004.png,broken_large,defect,1.0,True,broken_small,False,7.300172001123428e-06,48.90439560008235,"The image shows a small breakage on the right side of the bottle's rim, visible as jagged glass edges where the material is fractured."
datasets\MVTecAD\bottle\test\broken_large\005.png,broken_large,defect,1.0,True,broken_large,True,1.00000761449337e-05,85.71002780017443,"The bottle's rim shows a significant fracture on the right side with visible glass separation and irregular edges, indicating a manufacturing defect."
datasets\MVTecAD\bottle\test\broken_small\001.png,broken_small,defect,1.0,True,contamination,False,8.00006091594696e-06,27.96837899996899,"A small area of contamination is visible as a glossy, irregular patch on the right side of the bottle's rim. This appears to be foreign material adhering to the surface."
datasets\MVTecAD\bottle\test\broken_small\002.png,broken_small,defect,1.0,True,contamination,False,9.600073099136353e-06,54.08085130015388,"A small foreign object (likely plastic or glass) is adhered to the right side of the bottle's rim, indicating contamination."
datasets\MVTecAD\bottle\test\broken_small\003.png,broken_small,defect,1.0,True,contamination,False,1.4299992471933365e-05,26.563356699887663,A small area of foreign material (contamination) is visible on the left side of the bottle's rim. This appears as a white spot against the dark surface.
datasets\MVTecAD\bottle\test\broken_small\004.png,broken_small,defect,1.0,True,contamination,False,4.300149157643318e-06,68.12793600000441,"The image shows reflective residue on the inner surface of the bottle neck, consistent with contamination (e.g., foreign particles or manufacturing debris). This is a defect as it indicates non-compliance with clean internal surfaces."
datasets\MVTecAD\bottle\test\broken_small\005.png,broken_small,defect,1.0,True,broken_small,True,7.0999376475811005e-06,54.37097300007008,"The top-right section of the bottle's rim shows a small fracture (broken_small), visible as a discontinuity in the glass structure."
datasets\MVTecAD\bottle\test\contamination\001.png,contamination,defect,1.0,True,contamination,True,9.799841791391373e-06,94.1241880999878,"A small foreign particle is visible inside the bottle opening, indicating contamination."
datasets\MVTecAD\bottle\test\contamination\002.png,contamination,false_alarm,1.0,True,,,1.0599847882986069e-05,35.963339400012046,The image shows a bottle opening with no visible breaks or contaminants. The detector's high score likely stems from lighting/reflection artifacts rather than actual defects.
datasets\MVTecAD\bottle\test\contamination\003.png,contamination,defect,1.0,True,contamination,True,5.699926987290382e-06,28.86036549997516,"A foreign fibrous contaminant is present inside the bottle opening, visible as a dark thread-like material extending into the interior. This is not part of the intended product and constitutes contamination."
datasets\MVTecAD\bottle\test\contamination\004.png,contamination,defect,1.0,True,broken_small,False,7.4999406933784485e-06,60.445042700041085,"A small break is visible on the right side of the bottle's neck, appearing as a dark irregularity in the glass structure."
datasets\MVTecAD\bottle\test\contamination\005.png,contamination,defect,1.0,True,broken_small,False,5.200039595365524e-06,37.30843789991923,"A small break is visible in the inner ring of the bottle neck, appearing as a curved indentation. This is consistent with a manufacturing defect where material integrity was compromised."
datasets\MVTecAD\bottle\test\good\001.png,good,defect,1.0,True,contamination,,9.699957445263863e-06,65.53373649995774,The inner rim of the bottle opening shows brownish discoloration consistent with contamination (residue or foreign material). This is located along the transition between the neck and the opening.
datasets\MVTecAD\bottle\test\good\002.png,good,false_alarm,1.0,True,,,4.299916326999664e-06,44.25397379999049,"The bottle opening shows no visible breaks or foreign contaminants; the brownish residue on the rim is consistent with normal product content (e.g., dark liquid) rather than a defect."
datasets\MVTecAD\bottle\test\good\003.png,good,false_alarm,1.0,True,,,6.400048732757568e-06,28.378400299930945,"The flagged region shows normal color variation in the bottle's rim area, likely due to manufacturing process or material properties. No cracks, foreign particles, or other defects are visible."
datasets\MVTecAD\bottle\test\good\004.png,good,false_alarm,1.0,True,,,5.499925464391708e-06,35.109803499886766,The image shows a bottle top view with no visible breaks or foreign contaminants. The observed residue appears to be part of the manufacturing process and does not constitute a defect.
datasets\MVTecAD\bottle\test\good\005.png,good,false_alarm,1.0,True,,,3.5499921068549156e-05,35.15671270014718,The image shows the interior of a bottle neck with no visible cracks or foreign particles; the brownish discoloration appears to be part of the material's natural finish rather than contamination.
